region,latitude,longitude
JARDIM DA PENHA,-20.281343,-40.295274
MATA DA PRAIA,-20.2864177,-40.328061
PONTAL DE CAMBURI,-20.2765534,-40.3260493
REPÚBLICA,-20.2898739,-40.3139023
GOIABEIRAS,-20.2733974,-40.3406367
ANDORINHAS,-20.2881161,-40.3098094
CONQUISTA,-20.2881161,-40.3098094
NOVA PALESTINA,-20.273739,-40.3448754
DA PENHA,-20.273739,-40.3448754
TABUAZEIRO,-20.2952282,-40.3402544
BENTO FERREIRA,-20.2952282,-40.3402544
SÃO PEDRO,-20.319973,-40.3261468
SANTA MARTHA,-20.2861586,-40.314804
SÃO CRISTÓVÃO,-20.2861484,-40.3191814
MARUÍPE,-20.2995231,-40.328521
GRANDE VITÓRIA,-20.2995231,-40.328521
SÃO BENEDITO,-4.0479454,-40.8856794
ILHA DAS CAIEIRAS,-20.2781114,-40.3373549
SANTO ANDRÉ,-20.2781063,-40.3395436
SOLON BORGES,-20.2611973,-40.2961718
BONFIM,-20.2611897,-40.2994549
JARDIM CAMBURI,-20.2537888,-40.2841913
MARIA ORTIZ,-20.2537888,-40.2841913
JABOUR,-20.2575547,-40.3151439
ANTÔNIO HONÓRIO,-20.2577946,-40.3013139
RESISTÊNCIA,-20.2634332,-40.3002495
ILHA DE SANTA MARIA,-20.2732814,-40.3268296
JUCUTUQUARA,-20.3188096,-40.3263577
MONTE BELO,-20.3091105,-40.3239923
MÁRIO CYPRESTE,-20.3165144,-40.3593872
SANTO ANTÔNIO,-20.3165042,-40.3637646
BELA VISTA,-20.309307,-40.3628929
PRAIA DO SUÁ,-20.3133965,-40.3007727
SANTA HELENA,-20.3133812,-40.3073388
ITARARÉ,-24.123417,-49.324031
INHANGUETÁ,-20.2998928,-40.351078
UNIVERSITÁRIO,-20.2998618,-40.3642102
SÃO JOSÉ,-23.9391134,-46.7707211
REDENÇÃO,-23.249458,-45.5787069
SANTA CLARA,-29.453646,-52.2048194
CENTRO,-29.4816118,-51.9830436
PARQUE MOSCOSO,-20.3193827,-40.3442907
DO MOSCOSO,-20.3193776,-40.3464794
SANTOS DUMONT,-20.3152544,-40.352339
CARATOÍRA,-20.3147239,-40.3558557
ARIOVALDO FAVALESSA,-20.3147086,-40.3624218
ILHA DO FRADE,-20.3139425,-40.3605201
GURIGICA,-20.305824,-40.3106029
JOANA D´ARC,-20.3058138,-40.3149803
CONSOLAÇÃO,-20.2834791,-40.3346665
PRAIA DO CANTO,-23.5539116,-46.6862652
BOA VISTA,-20.3002705,-40.3094189
MORADA DE CAMBURI,-20.2713921,-40.3007604
SANTA LUÍZA,-20.2713921,-40.3007604
SANTA LÚCIA,-20.3023546,-40.3089574
BARRO VERMELHO,-20.2961539,-40.3025394
ESTRELINHA,-20.2933905,-40.3492198
FORTE SÃO JOÃO,-20.2933702,-40.3557859
FONTE GRANDE,-20.31996,-40.3415123
ENSEADA DO SUÁ,-20.3147219,-40.3002393
SANTOS REIS,-20.3146582,-40.326504
PIEDADE,-22.892841,-43.331355
JESUS DE NAZARETH,-20.3196743,-40.3065535
SANTA TEREZA,-20.3196641,-40.3109309
CRUZAMENTO,-20.3096872,-40.3247038
ILHA DO PRÍNCIPE,-20.3218847,-40.3526047
ROMÃO,-20.3218694,-40.3591708
COMDUSA,-20.3133256,-40.3339134
SANTA CECÍLIA,-20.2873554,-40.3391175
VILA RUBIM,-20.3195755,-40.3497574
DE LOURDES,-20.3195602,-40.3563235
DO QUADRO,-20.3165487,-40.3507821
DO CABRAL,-20.3165411,-40.3540652
HORTO,-20.3157376,-40.351677
SEGURANÇA DO LAR,-20.2627894,-40.2983295
ILHA DO BOI,-20.2627843,-40.3005182
FRADINHOS,-20.3056342,-40.3322169
NAZARETH,-20.3056032,-40.3453491
AEROPORTO,-20.293387,-40.3820506
ILHAS OCEÂNICAS DE TRINDADE,-20.5071481,-29.3408058
PARQUE INDUSTRIAL,-23.4214,-51.9761443
