region,temperature,time,weather
JARDIM DA PENHA,22.93888888888889,1461888000.0,Overcast
MATA DA PRAIA,22.58888888888889,1461888000.0,Overcast
PONTAL DE CAMBURI,22.866666666666664,1461888000.0,Overcast
REPÚBLICA,22.800000000000004,1461888000.0,Overcast
GOIABEIRAS,22.95555555555555,1461888000.0,Overcast
ANDORINHAS,22.88333333333333,1461888000.0,Overcast
CONQUISTA,22.88333333333333,1461888000.0,Overcast
NOVA PALESTINA,22.95555555555555,1461888000.0,Overcast
DA PENHA,22.95555555555555,1461888000.0,Overcast
TABUAZEIRO,22.68888888888889,1461888000.0,Overcast
BENTO FERREIRA,22.68888888888889,1461888000.0,Overcast
SÃO PEDRO,22.63333333333333,1461888000.0,Overcast
SANTA MARTHA,22.79444444444445,1461888000.0,Overcast
SÃO CRISTÓVÃO,22.677777777777766,1461888000.0,Overcast
MARUÍPE,22.1,1461888000.0,Overcast
GRANDE VITÓRIA,22.1,1461888000.0,Overcast
ILHA DAS CAIEIRAS,22.95555555555555,1461888000.0,Overcast
SANTO ANDRÉ,22.95555555555555,1461888000.0,Overcast
SOLON BORGES,22.95555555555555,1461888000.0,Overcast
BONFIM,22.95,1461888000.0,Overcast
JARDIM CAMBURI,22.96666666666667,1461888000.0,Overcast
MARIA ORTIZ,22.96666666666667,1461888000.0,Overcast
JABOUR,22.93333333333333,1461888000.0,Overcast
ANTÔNIO HONÓRIO,22.94444444444445,1461888000.0,Overcast
RESISTÊNCIA,22.95,1461888000.0,Overcast
ILHA DE SANTA MARIA,22.927777777777766,1461888000.0,Overcast
JUCUTUQUARA,22.56666666666667,1461888000.0,Overcast
MONTE BELO,22.58888888888889,1461888000.0,Overcast
MÁRIO CYPRESTE,22.95,1461888000.0,Overcast
SANTO ANTÔNIO,22.93333333333333,1461888000.0,Overcast
BELA VISTA,22.894444444444442,1461888000.0,Overcast
PRAIA DO SUÁ,22.87777777777778,1461888000.0,Overcast
SANTA HELENA,22.872222222222234,1461888000.0,Overcast
INHANGUETÁ,22.95555555555555,1461888000.0,Overcast
UNIVERSITÁRIO,22.88888888888889,1461888000.0,Overcast
SÃO JOSÉ,13.55,1461888000.0,Overcast
PARQUE MOSCOSO,22.600000000000005,1461888000.0,Overcast
DO MOSCOSO,22.68888888888889,1461888000.0,Overcast
